index,data,quantidade,LAG1,LAG2,day_of_week,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,mes,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12,trimestre,feriado
115,2022-01-26,1650,270.0,9357.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
116,2022-01-26,9357,630.0,1635.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
119,2022-01-27,1797,2880.0,60.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
120,2022-01-27,60,1650.0,270.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
118,2022-01-27,2880,60.0,1650.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
121,2022-01-28,3993,1797.0,2880.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
122,2022-01-28,1071,3993.0,1797.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
123,2022-01-28,1500,1071.0,3993.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
124,2022-01-28,411,1500.0,1071.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
125,2022-01-28,1860,411.0,1500.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
126,2022-01-31,480,1860.0,411.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
127,2022-01-31,600,480.0,1860.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
128,2022-01-31,4215,600.0,480.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
129,2022-01-31,15,4215.0,600.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
130,2022-01-31,2400,15.0,4215.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
131,2022-01-31,3162,2400.0,15.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
132,2022-01-31,1512,3162.0,2400.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
134,2022-02-01,300,135.0,1029.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
133,2022-02-01,300,300.0,135.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
140,2022-02-01,135,1029.0,240.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
135,2022-02-01,903,300.0,300.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
138,2022-02-01,240,300.0,1512.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
137,2022-02-01,300,1512.0,3162.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
136,2022-02-01,1029,240.0,300.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
144,2022-02-02,30,510.0,7125.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
142,2022-02-02,510,7125.0,2601.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
143,2022-02-02,7125,2601.0,2400.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
147,2022-02-02,1401,903.0,300.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
145,2022-02-02,2400,3120.0,1401.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
146,2022-02-02,3120,1401.0,903.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
141,2022-02-02,2601,2400.0,3120.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
151,2022-02-03,1095,45.0,495.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
149,2022-02-03,495,2970.0,900.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
150,2022-02-03,2970,900.0,3180.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
155,2022-02-03,900,3180.0,150.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
148,2022-02-03,45,495.0,2970.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
153,2022-02-03,150,3342.0,1260.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
154,2022-02-03,3342,1260.0,30.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
156,2022-02-03,1260,30.0,510.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
152,2022-02-03,3180,150.0,3342.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
157,2022-02-04,60,1095.0,45.0,4,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
158,2022-02-04,450,60.0,1095.0,4,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
159,2022-02-04,3000,450.0,60.0,4,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
160,2022-02-04,1998,3000.0,450.0,4,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
161,2022-02-04,2610,1998.0,3000.0,4,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
162,2022-02-04,1911,2610.0,1998.0,4,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
163,2022-02-04,150,1911.0,2610.0,4,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
165,2022-02-07,90,450.0,90.0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
166,2022-02-07,2619,90.0,450.0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
164,2022-02-07,450,90.0,270.0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
168,2022-02-07,5130,150.0,1911.0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
